split,seed,miss_rate,fold,model,auroc,ap,brier,best_params
S1,1001,0.0,1,extratrees,0.9401436956081766,0.4170409038660914,0.0200747681987745,"{""clf__max_depth"": 12}"
S1,1001,0.0,1,lr_l2,0.8987856709168185,0.3801718385425154,0.0194531945491233,"{""clf__C"": 1.0}"
S1,1001,0.0,1,rf,0.9396402550091074,0.4917251071228927,0.0180905169013528,"{""clf__max_depth"": null}"
S1,1001,0.0,1,svm_linear_cal,0.8904371584699454,0.3522358640171812,0.0199247269324413,"{""clf__C"": 0.1}"
S1,1001,0.0,1,xgb,0.9526209269378668,0.5382397259748986,0.0168006745550234,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,0.0,2,extratrees,0.9648656969137228,0.5747812978620854,0.0166969164299242,"{""clf__max_depth"": null}"
S1,1001,0.0,2,lr_l2,0.9279817337540728,0.5146026320522781,0.0169681554058043,"{""clf__C"": 1.0}"
S1,1001,0.0,2,rf,0.970271171656533,0.5660211462585637,0.0164649068954515,"{""clf__max_depth"": 12}"
S1,1001,0.0,2,svm_linear_cal,0.9166730803766132,0.5217961034615287,0.0170249975548126,"{""clf__C"": 1.0}"
S1,1001,0.0,2,xgb,0.9694604787193104,0.5734275662223224,0.0158129416102831,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.0,3,extratrees,0.9502963133995228,0.5883682382629893,0.0172191159643308,"{""clf__max_depth"": null}"
S1,1001,0.0,3,lr_l2,0.8987660022063162,0.4556063243780591,0.0176593666689492,"{""clf__C"": 1.0}"
S1,1001,0.0,3,rf,0.9476718232894636,0.5866134198670077,0.016528226601957,"{""clf__max_depth"": null}"
S1,1001,0.0,3,svm_linear_cal,0.8954103491623695,0.4621950133303091,0.0177286880879715,"{""clf__C"": 0.1}"
S1,1001,0.0,3,xgb,0.9511993637599732,0.5798494156064469,0.0156950202994332,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 4}"
S1,1001,0.0,4,extratrees,0.9407596371882088,0.5217468144150602,0.0186884928971271,"{""clf__max_depth"": 12}"
S1,1001,0.0,4,lr_l2,0.9226392938127632,0.5029525744860048,0.0172033086682682,"{""clf__C"": 1.0}"
S1,1001,0.0,4,rf,0.958778749595076,0.6138170282135932,0.0161917892968988,"{""clf__max_depth"": 12}"
S1,1001,0.0,4,svm_linear_cal,0.9186558551992224,0.5287779095656339,0.0166410265851385,"{""clf__C"": 0.1}"
S1,1001,0.0,4,xgb,0.9704709264658244,0.6489766497962579,0.0140197135954976,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.0,5,extratrees,0.9568249919015224,0.6056473503099544,0.0166414614898989,"{""clf__max_depth"": null}"
S1,1001,0.0,5,lr_l2,0.9324333900226758,0.4869455692094448,0.0174388603065071,"{""clf__C"": 1.0}"
