split,seed,miss_rate,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std
S1,1001,0.0,extratrees,0.9505780670022308,0.01058911581152699,0.5415169209432362,0.07632072558728753,0.0178641509960111,0.0014865937861272666
S1,1001,0.0,lr_l2,0.9161212181425293,0.0162093245561732,0.46805578773366047,0.053897578677379675,0.01774457711973042,0.0009894315697964136
S1,1001,0.0,rf,0.9540593694597608,0.011552296228500855,0.5724774768990859,0.04867856095821091,0.01665823498726874,0.0008270560620623022
S1,1001,0.0,svm_linear_cal,0.9088016151722424,0.014768942724538176,0.471996912935632,0.07188712393284338,0.01769251044362642,0.0013073951701636022
S1,1001,0.0,xgb,0.962313061884726,0.009556989017031522,0.5913195439228455,0.0424493311152906,0.01545715539667864,0.0010373252563233022
S1,1001,0.05,extratrees,0.9480375758821667,0.012068441093997474,0.5287719775860162,0.0716967744745252,0.01830328241540164,0.0012149773496386452
S1,1001,0.05,lr_l2,0.9067720774751562,0.02183925870001687,0.4537891003796487,0.0629152918860024,0.0180452716761471,0.0012471500877239924
S1,1001,0.05,rf,0.9509234502068772,0.010780546450101746,0.5627995503294658,0.06596888718370676,0.016911587816737638,0.0010972716197224256
S1,1001,0.05,svm_linear_cal,0.8990058109822293,0.02318366089523714,0.45947587537587015,0.07901790699706725,0.017958078781631477,0.0015059726704172223
S1,1001,0.05,xgb,0.9571336351234221,0.012168342227135106,0.5602808738796341,0.04400016723955726,0.016231288368618542,0.0009791248940884748
S1,1001,0.1,extratrees,0.9441970392139586,0.010458994538067923,0.5120552420208963,0.06891749765176924,0.01873149231359686,0.00126035046378597
S1,1001,0.1,lr_l2,0.9029314998824092,0.021512201765767455,0.43794168796443855,0.07781757813661198,0.018249679459429118,0.001368183302762421
S1,1001,0.1,rf,0.949743847960901,0.012422987100852044,0.5396962755921954,0.0628326703503203,0.0173627938935917,0.0010859025233619093
S1,1001,0.1,svm_linear_cal,0.895101534918593,0.019074614912613003,0.4437865749110945,0.09325449255954014,0.018295583259162498,0.001576677832027034
S1,1001,0.1,xgb,0.9566365739322744,0.01097753071836192,0.5492995872472163,0.02697589437564266,0.016368215678497323,0.0006393648564645109
S1,1001,0.2,extratrees,0.9372930621783813,0.008658347804001458,0.4861753723248067,0.08049391014569506,0.01910725120585434,0.0012417879414554456
S1,1001,0.2,lr_l2,0.9021831872812944,0.022559475130880156,0.41876840565709744,0.0827492832870572,0.01867044117207198,0.0014607610986129501
S1,1001,0.2,rf,0.9405861385975045,0.011693076881928418,0.5214798580687734,0.06398340158621639,0.01760758364562004,0.001047210254853837
S1,1001,0.2,svm_linear_cal,0.8921767338050998,0.022125613973059285,0.43063657556137214,0.08650731859216917,0.0186256067378407,0.0015433247195919778
S1,1001,0.2,xgb,0.952984472316803,0.008521928815021404,0.5192182623764016,0.05001271383891215,0.017001404221496923,0.0010838694840653708
S1,1001,0.3,extratrees,0.9301659488910797,0.014700678015198634,0.4727213008957299,0.08967518000686375,0.019462177543579002,0.0011383027733168189
S1,1001,0.3,lr_l2,0.8869199038387293,0.013700916960426255,0.40380015632532623,0.08586834193533639,0.01901671507025162,0.0016810477942085834
S1,1001,0.3,rf,0.9348009875433535,0.012491603528238093,0.48066407662333654,0.07043900343350903,0.01845323321382878,0.0010169491233816665
S1,1001,0.3,svm_linear_cal,0.8817845667416974,0.010191388226739652,0.4092425841277635,0.08303359124499592,0.01906996770362332,0.0015802086041750156
S1,1001,0.3,xgb,0.9425457510426506,0.013057657509872958,0.48684325101406517,0.07336588285986821,0.01762389846973456,0.0011908760892978716
S1,1001,0.4,extratrees,0.9184925779107649,0.012634555053180063,0.41607481556018744,0.0657922816504482,0.02008520674273162,0.0009525728502017678
S1,1001,0.4,lr_l2,0.8785962385394566,0.0074381046114826615,0.3510058173043167,0.05278327577480315,0.019921024396107358,0.0010402044753547771
S1,1001,0.4,rf,0.9244991553926237,0.01445264947223554,0.4273498913622135,0.05164909942602451,0.01925374429924606,0.0007301744930188433
S1,1001,0.4,svm_linear_cal,0.8733804274321942,0.004656028461152972,0.3666764192408962,0.05758699419017518,0.01978144543605196,0.0010406417035371232
S1,1001,0.4,xgb,0.9315276671999749,0.011439657993749202,0.40364941924274217,0.036686947260045,0.01922864718992926,0.0006906712480764987
S1,1001,0.5,extratrees,0.9171660809928319,0.018999594086067575,0.411083415777333,0.09271236819408124,0.020067551263849202,0.0009834895784026584
S1,1001,0.5,lr_l2,0.8807595743600295,0.020412562762836147,0.3404516840711625,0.06470313604401352,0.020199807130626378,0.0012942769121845697
S1,1001,0.5,rf,0.9193522673821366,0.019959158123351046,0.43497484574079,0.058645593388530766,0.01930598415164672,0.0007405282793926391
S1,1001,0.5,svm_linear_cal,0.8735989415691536,0.021548646370179093,0.34595147836289286,0.06318738985019055,0.02033083534042206,0.001133397583521116
S1,1001,0.5,xgb,0.9307977920022312,0.008526335003473294,0.41949419141152927,0.026576175149227416,0.018832498191261,0.0006778299065655335
S1,1001,0.6,extratrees,0.8865209153782299,0.009692607222446987,0.34497971724162146,0.06743792824295242,0.021212611256334217,0.0009917022916006487
S1,1001,0.6,lr_l2,0.8656879179751611,0.010228185321833234,0.308368245516098,0.05410727430397546,0.020832900649913298,0.0011761985102050857
S1,1001,0.6,rf,0.8899569454476385,0.014855601311064821,0.34999582844369515,0.06012452058287755,0.02056194220413764,0.0007106842936035711
S1,1001,0.6,svm_linear_cal,0.85639317262176,0.010531639132384592,0.3092009324462595,0.04695727658139023,0.02087248705744574,0.000932498585351312
S1,1001,0.6,xgb,0.9023386844585847,0.008333639448607,0.35369607889951754,0.036994471390204495,0.02005360367011886,0.0006509270462196668
S1,1001,0.7,extratrees,0.8769284993008245,0.016499200069612065,0.29145078617020204,0.07221680255589377,0.02176107963372966,0.0005993519734869056
S1,1001,0.7,lr_l2,0.8573852818844843,0.018256928335429367,0.2802864960573436,0.04933493888000185,0.021324524639426058,0.0009700878023332026
S1,1001,0.7,rf,0.8897977506585262,0.013900937981603469,0.3102731400167353,0.05204892052443797,0.02129304162979394,0.0006863188545805533
S1,1001,0.7,svm_linear_cal,0.849158320870749,0.021738936203443485,0.2915750220484067,0.06217325317236517,0.021403198828970897,0.0011609374039866446
S1,1001,0.7,xgb,0.896915229925518,0.0190782205435448,0.33102007577554987,0.08936333671345573,0.020523736508955802,0.0015040194064044484
S1,1002,0.0,extratrees,0.9477173553242805,0.0077448131689358095,0.5356893035313661,0.062090922436110196,0.01798222157961498,0.000695284381240189
S1,1002,0.0,lr_l2,0.9156099274024546,0.018181259307080137,0.47532044530540496,0.05569625573610614,0.017635334387876723,0.0013210831858585675
S1,1002,0.0,rf,0.9530430564773056,0.00959904492244077,0.5733528478806857,0.07951414027905204,0.016692694753565558,0.0011047296488195866
S1,1002,0.0,svm_linear_cal,0.9072895992684524,0.02365006166110477,0.48189113691425867,0.06826697247085478,0.017589404742591262,0.001315752926384103
S1,1002,0.0,xgb,0.9584969325772527,0.006617045400264871,0.5790484732174256,0.07988216757621242,0.015809888004459222,0.0017939180729769381
S1,1002,0.05,extratrees,0.9467653955274258,0.010849004607645986,0.5291734666117568,0.06842118208915444,0.018182562334442102,0.0008749602917405929
S1,1002,0.05,lr_l2,0.9063670840202984,0.022322637642223628,0.4579961535315925,0.06627578215941787,0.01808663765979652,0.0014416108447244155
S1,1002,0.05,rf,0.9502665729672884,0.00785686606596084,0.5641587742737985,0.07339625654737547,0.017023301981060578,0.0010112328349992394
S1,1002,0.05,svm_linear_cal,0.9001758152058038,0.02248377188754361,0.465733240005931,0.06619627479334383,0.01802582247545952,0.0012728359182662592
S1,1002,0.05,xgb,0.9569256748635666,0.005325641996692152,0.5520920394568507,0.0831315439991585,0.01638866016186998,0.0018429587167337368
S1,1002,0.1,extratrees,0.9418113886216612,0.009645681303936431,0.5164572015346098,0.054649682814290154,0.018295921613044757,0.0005731654352697597
S1,1002,0.1,lr_l2,0.9085668390030737,0.017349636886855518,0.44643337825681095,0.05519132077855846,0.01830472405027812,0.001247210903201062
S1,1002,0.1,rf,0.946593031729153,0.011058473869633916,0.5503824611248841,0.062374585436165184,0.01726069067246902,0.0008843460636466462
S1,1002,0.1,svm_linear_cal,0.8991003637921935,0.0220599739581064,0.45233367804323554,0.06407476796050048,0.01827282976449372,0.001081596450073049
S1,1002,0.1,xgb,0.9547271843030891,0.004820190299744834,0.5378790105630623,0.05777267004600052,0.01677998563239308,0.0010792932701176418
S1,1002,0.2,extratrees,0.9381050497988946,0.010045912988891435,0.47627589693293804,0.06382594862843503,0.01935293549702774,0.0009817749802634016
S1,1002,0.2,lr_l2,0.89479870245142,0.026196325360099103,0.4227532918862904,0.028846928312891287,0.01859570072363772,0.0006802825930430972
S1,1002,0.2,rf,0.9412277300595265,0.009917329734077305,0.4982511954297258,0.06239255904866799,0.018114806106463897,0.0008755569732085302
S1,1002,0.2,svm_linear_cal,0.8903441631557889,0.02463952916351678,0.42422618306201765,0.025680034370352173,0.018645671403116282,0.0006751234064727024
S1,1002,0.2,xgb,0.9500696080127469,0.0060465365606650655,0.5023951836076519,0.0475997261118109,0.01739371189785262,0.0010046358754046787
S1,1002,0.3,extratrees,0.9338375335321514,0.01504388091121608,0.4583392016383951,0.05509443371779762,0.01965277163620102,0.0007645654790591341
S1,1002,0.3,lr_l2,0.8903246297159768,0.015057172592931945,0.37879119328592453,0.030087921196636124,0.01964409944362022,0.0008259574373294624
S1,1002,0.3,rf,0.9367500326170498,0.014425214729935605,0.47725543455397085,0.06884890680743652,0.01864434610030024,0.000859602341151573
S1,1002,0.3,svm_linear_cal,0.8816132283241348,0.0207261204874537,0.3863843694654526,0.03644143267840462,0.01952945464843208,0.0007833563670911825
S1,1002,0.3,xgb,0.9412041871887725,0.010358532310827066,0.4611960618732812,0.077215135106863,0.0182116915771314,0.00161483129252999
S1,1002,0.4,extratrees,0.931732376691097,0.01245206455507252,0.4384057538794758,0.06710169374636742,0.01963957049182332,0.0008601051285994059
S1,1002,0.4,lr_l2,0.8938154880923023,0.015709521801498802,0.3732872274635203,0.04350567462878081,0.01957803214506034,0.0009097012145308737
S1,1002,0.4,rf,0.928298607103841,0.013984220703537744,0.4559059186350901,0.06395579788113274,0.019031425094717037,0.0008474110699950756
S1,1002,0.4,svm_linear_cal,0.8878410833388122,0.024127946851348496,0.38813998030996827,0.05705681289861181,0.01956280652432868,0.0009448961201200782
S1,1002,0.4,xgb,0.9439284502807169,0.006592836164205121,0.44923303107173485,0.09534232194093951,0.01855926265333942,0.0016296152337101557
S1,1002,0.5,extratrees,0.9112426553256153,0.015942613491016232,0.3782194498631399,0.06874882035710439,0.02068251262191858,0.0008830787024176218
S1,1002,0.5,lr_l2,0.8918179977373212,0.022198805028024876,0.351233841705187,0.07074203332849345,0.02012724850923538,0.0014503831342767076
S1,1002,0.5,rf,0.9174373595834867,0.018723625020383602,0.3991399415824993,0.06045949708643726,0.0199167120222707,0.0009792479114208756
S1,1002,0.5,svm_linear_cal,0.8852364496550613,0.02513983632897315,0.3537340089624891,0.08282833241466449,0.0202795603281213,0.0015950839587856372
S1,1002,0.5,xgb,0.9280531405247048,0.007912233542092086,0.395092972588973,0.06881439367892703,0.0193352116442685,0.0013376901773618642
