split,seed,target_prev,winner_model,winner_auc,winner_ap,winner_brier
S1,1001,-1.0,xgb,0.962313061884726,0.5913195439228455,0.015457155396678673
S1,1002,-1.0,xgb,0.9584969325772527,0.5790484732174256,0.01580988800445928
S1,1003,-1.0,xgb,0.957184904434226,0.5708281837437431,0.01594735967966591
S1,1004,-1.0,xgb,0.9584979903511458,0.5660304943333649,0.015858997458350666
S1,1005,-1.0,xgb,0.9612149953548285,0.5760035494469381,0.015949017874926218
S1,1006,-1.0,xgb,0.957580686870813,0.5696972295021567,0.016046083788720356
S1,1007,-1.0,xgb,0.960979673355466,0.5795996254077543,0.01580874821325679
S1,1008,-1.0,xgb,0.9560826346285088,0.5704134930241949,0.016141319027982423
S1,1009,-1.0,xgb,0.9627725221091822,0.5906412684681124,0.015646815816659908
S1,1010,-1.0,xgb,0.9572535325953965,0.5798036141032928,0.015668540865592877
S1,1011,-1.0,xgb,0.9589911896194085,0.5782868027881969,0.015805988510160348
S1,1012,-1.0,xgb,0.9614237692073992,0.5856944356287628,0.015671495230724936
S1,1013,-1.0,xgb,0.9595094793490299,0.5665980692213285,0.01603767828568812
S1,1014,-1.0,xgb,0.9582911263380938,0.5664259283901686,0.015996707696159945
S1,1015,-1.0,xgb,0.9567692868360929,0.5880708826939578,0.015555026986754516
S1,1016,-1.0,xgb,0.9559312430150918,0.5717061385950417,0.015932998129248598
S1,1017,-1.0,xgb,0.9626520342154201,0.6026878937930685,0.015458047497733548
S1,1018,-1.0,xgb,0.959103933264864,0.571242742878343,0.01586951533651468
S1,1019,-1.0,xgb,0.9616491790330765,0.5916167386498183,0.015552408891453443
S1,1020,-1.0,xgb,0.9583853503649141,0.5780559353659662,0.015740899969231666
S1,1001,0.1,xgb,0.9617892786629445,0.546003834723769,0.021424055783004877
S1,1002,0.1,xgb,0.9555617025470002,0.5690303807579148,0.02016686959171173
S1,1003,0.1,xgb,0.9583836195098716,0.5525438759855692,0.020555569864598777
S1,1004,0.1,xgb,0.9549353091960434,0.5324536504497971,0.021469741845219836
S1,1005,0.1,xgb,0.9601576401604636,0.5396313768051668,0.020656527106881428
S1,1006,0.1,xgb,0.9595167060959199,0.552603862649235,0.020624106076346398
S1,1007,0.1,xgb,0.9605107268083426,0.5405919995594137,0.020749335157635655
S1,1008,0.1,xgb,0.9588062556586394,0.5506335248892259,0.021517377575746253
S1,1009,0.1,rf,0.9549644123138975,0.5657069641379728,0.020962814071907136
S1,1010,0.1,xgb,0.955035598822314,0.5424208179658985,0.021178449775571085
