split,target_prev,baseline_seed,baseline_severity,baseline_winner_det,det_flip_pct,tie_flip_pct,kendall_tau_mean,spearman_rho_mean,flip_thr,tau_thr,stable_det,stable_tie
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.7,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.8,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.9,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,5.0,0.7,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,5.0,0.8,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,5.0,0.9,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,10.0,0.7,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,10.0,0.8,True,True
S1,-1.0,1001,-1.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,10.0,0.9,True,True
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,0.0,0.7,False,False
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,0.0,0.8,False,False
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,0.0,0.9,False,False
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,5.0,0.7,True,False
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,5.0,0.8,True,False
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,5.0,0.9,True,False
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,10.0,0.7,True,True
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,10.0,0.8,True,True
S1,0.1,1001,-1.0,xgb,5.0,10.0,0.9684210526315788,0.9842105263157892,10.0,0.9,True,True
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,0.0,0.7,False,False
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,0.0,0.8,False,False
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,0.0,0.9,False,False
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,5.0,0.7,False,False
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,5.0,0.8,False,False
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,5.0,0.9,False,False
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,10.0,0.7,False,False
S1,0.2,1001,-1.0,xgb,20.0,35.0,0.8631578947368422,0.9263157894736841,10.0,0.8,False,False
