split,flip_thr,tau_thr,baseline_seed,baseline_severity,baseline_winner_det,max_stable_severity_det,max_stable_severity_tie,flip_onset_det,flip_onset_tie
S1,0.0,0.7,1001,0.0,xgb,0.7,0.6,0.4,0.4
S1,0.0,0.8,1001,0.0,xgb,0.7,0.6,0.4,0.4
S1,0.0,0.9,1001,0.0,xgb,0.7,0.6,0.4,0.4
S1,5.0,0.7,1001,0.0,xgb,0.7,0.7,0.4,0.4
S1,5.0,0.8,1001,0.0,xgb,0.7,0.7,0.4,0.4
S1,5.0,0.9,1001,0.0,xgb,0.7,0.7,0.4,0.4
S1,10.0,0.7,1001,0.0,xgb,0.7,0.7,0.4,0.4
S1,10.0,0.8,1001,0.0,xgb,0.7,0.7,0.4,0.4
S1,10.0,0.9,1001,0.0,xgb,0.7,0.7,0.4,0.4
S2,0.0,0.7,1001,0.0,xgb,0.7,0.7,,
S2,0.0,0.8,1001,0.0,xgb,0.7,0.7,,
S2,0.0,0.9,1001,0.0,xgb,0.6,0.6,,
S2,5.0,0.7,1001,0.0,xgb,0.7,0.7,,
S2,5.0,0.8,1001,0.0,xgb,0.7,0.7,,
S2,5.0,0.9,1001,0.0,xgb,0.6,0.6,,
S2,10.0,0.7,1001,0.0,xgb,0.7,0.7,,
S2,10.0,0.8,1001,0.0,xgb,0.7,0.7,,
S2,10.0,0.9,1001,0.0,xgb,0.6,0.6,,
