split,seed,miss_rate,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S1,1001,0.0,xgb,xgb,1,0.962313061884726,0.5913195439228455,0.0154571553966786
S1,1002,0.0,xgb,xgb,1,0.9584969325772528,0.5790484732174256,0.0158098880044592
S1,1003,0.0,xgb,xgb,1,0.9571849044342258,0.5708281837437431,0.0159473596796658
S1,1004,0.0,xgb,xgb,1,0.9584979903511458,0.5660304943333649,0.0158589974583506
S1,1005,0.0,xgb,xgb,1,0.9612149953548283,0.5760035494469381,0.0159490178749261
S1,1006,0.0,xgb,xgb,1,0.9575806868708128,0.5696972295021567,0.0160460837887202
S1,1007,0.0,xgb,xgb,1,0.960979673355466,0.5795996254077543,0.0158087482132567
S1,1008,0.0,xgb,xgb,1,0.9560826346285088,0.5704134930241949,0.0161413190279823
S1,1009,0.0,xgb,xgb,1,0.9627725221091822,0.5906412684681124,0.0156468158166598
S1,1010,0.0,xgb,xgb,1,0.9572535325953964,0.5798036141032928,0.0156685408655928
S1,1011,0.0,xgb,xgb,1,0.9589911896194084,0.5782868027881969,0.0158059885101603
S1,1012,0.0,xgb,xgb,1,0.9614237692073992,0.5856944356287628,0.0156714952307248
S1,1013,0.0,xgb,xgb,1,0.95950947934903,0.5665980692213285,0.016037678285688
S1,1014,0.0,xgb,xgb,1,0.9582911263380938,0.5664259283901686,0.0159967076961598
S1,1015,0.0,xgb,xgb,1,0.9567692868360927,0.5880708826939578,0.0155550269867544
S1,1016,0.0,xgb,xgb,1,0.9559312430150918,0.5717061385950417,0.0159329981292485
S1,1017,0.0,xgb,xgb,1,0.96265203421542,0.6026878937930685,0.0154580474977335
S1,1018,0.0,xgb,xgb,1,0.959103933264864,0.571242742878343,0.0158695153365146
S1,1019,0.0,xgb,xgb,1,0.9616491790330765,0.5916167386498183,0.0155524088914534
S1,1020,0.0,xgb,xgb,1,0.958385350364914,0.5780559353659662,0.0157408999692316
S1,1001,0.05,xgb,xgb,1,0.957133635123422,0.5602808738796341,0.0162312883686185
S1,1002,0.05,xgb,xgb,1,0.9569256748635666,0.5520920394568507,0.0163886601618699
S1,1003,0.05,xgb,xgb,1,0.9571436770516328,0.5570341405641116,0.0163860199911097
S1,1004,0.05,xgb,xgb,1,0.9579990774739428,0.5420573369188695,0.0165661512807796
S1,1005,0.05,xgb,xgb,1,0.9566595699288148,0.5470257822902015,0.0164819243485884
S1,1006,0.05,xgb,xgb,1,0.952848857494911,0.5557591577225333,0.0162604632756533
S1,1007,0.05,xgb,xgb,1,0.9591096442351869,0.559065767171897,0.0161894284267103
S1,1008,0.05,xgb,xgb,1,0.9532513099976596,0.5562621350603214,0.0164156574449027
S1,1009,0.05,xgb,xgb,1,0.9565940905418716,0.558553720914399,0.0161136594878182
