split,seed,target_prev,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S1,1001,-1.0,xgb,xgb,1,0.962313061884726,0.5913195439228455,0.0154571553966786
S1,1002,-1.0,xgb,xgb,1,0.9584969325772528,0.5790484732174256,0.0158098880044592
S1,1003,-1.0,xgb,xgb,1,0.957184904434226,0.5708281837437431,0.0159473596796659
S1,1004,-1.0,xgb,xgb,1,0.9584979903511458,0.5660304943333649,0.0158589974583506
S1,1005,-1.0,xgb,xgb,1,0.9612149953548283,0.5760035494469381,0.0159490178749262
S1,1006,-1.0,xgb,xgb,1,0.957580686870813,0.5696972295021567,0.0160460837887203
S1,1007,-1.0,xgb,xgb,1,0.960979673355466,0.5795996254077543,0.0158087482132567
S1,1008,-1.0,xgb,xgb,1,0.9560826346285088,0.5704134930241949,0.0161413190279824
S1,1009,-1.0,xgb,xgb,1,0.9627725221091822,0.5906412684681124,0.0156468158166599
S1,1010,-1.0,xgb,xgb,1,0.9572535325953964,0.5798036141032928,0.0156685408655928
S1,1011,-1.0,xgb,xgb,1,0.9589911896194084,0.5782868027881969,0.0158059885101603
S1,1012,-1.0,xgb,xgb,1,0.9614237692073992,0.5856944356287628,0.0156714952307249
S1,1013,-1.0,xgb,xgb,1,0.95950947934903,0.5665980692213285,0.0160376782856881
S1,1014,-1.0,xgb,xgb,1,0.9582911263380938,0.5664259283901686,0.0159967076961599
S1,1015,-1.0,xgb,xgb,1,0.9567692868360927,0.5880708826939578,0.0155550269867545
S1,1016,-1.0,xgb,xgb,1,0.9559312430150918,0.5717061385950417,0.0159329981292485
S1,1017,-1.0,xgb,xgb,1,0.96265203421542,0.6026878937930685,0.0154580474977335
S1,1018,-1.0,xgb,xgb,1,0.959103933264864,0.571242742878343,0.0158695153365146
S1,1019,-1.0,xgb,xgb,1,0.9616491790330765,0.5916167386498183,0.0155524088914534
S1,1020,-1.0,xgb,xgb,1,0.958385350364914,0.5780559353659662,0.0157408999692316
S1,1001,0.1,xgb,xgb,1,0.9617892786629444,0.546003834723769,0.0214240557830048
S1,1002,0.1,xgb,xgb,1,0.9555617025470002,0.5690303807579148,0.0201668695917117
S1,1003,0.1,xgb,xgb,1,0.9583836195098716,0.5525438759855692,0.0205555698645987
S1,1004,0.1,xgb,rf,1,0.9549353091960434,0.5324536504497971,0.0214697418452198
S1,1005,0.1,xgb,xgb,1,0.9601576401604636,0.5396313768051668,0.0206565271068814
S1,1006,0.1,xgb,xgb,1,0.95951670609592,0.552603862649235,0.0206241060763463
S1,1007,0.1,xgb,xgb,1,0.9605107268083426,0.5405919995594137,0.0207493351576356
S1,1008,0.1,xgb,xgb,1,0.9588062556586394,0.5506335248892259,0.0215173775757462
S1,1009,0.1,rf,rf,1,0.9549644123138976,0.5657069641379728,0.0209628140719071
S1,1010,0.1,xgb,xgb,1,0.955035598822314,0.5424208179658985,0.021178449775571
S1,1011,0.1,xgb,xgb,1,0.9605705366793028,0.5525178589745522,0.0201650990608396
S1,1012,0.1,xgb,xgb,1,0.961706981534366,0.5577842561105179,0.0206066436508519
S1,1013,0.1,xgb,xgb,1,0.9541695706364212,0.5170624190524751,0.0227702539019188
S1,1014,0.1,xgb,xgb,1,0.9556018275848832,0.5452974398576647,0.0211331288548761
S1,1015,0.1,xgb,xgb,1,0.9579432500867856,0.5684151350114908,0.0201631198954931
S1,1016,0.1,xgb,xgb,1,0.9534569257057944,0.5342421530853919,0.0213339785111741
S1,1017,0.1,xgb,xgb,1,0.9609890455787108,0.5512240930613199,0.0206786068557612
S1,1018,0.1,xgb,xgb,1,0.9584543555055474,0.5246526975354318,0.0212210800960995
S1,1019,0.1,xgb,xgb,1,0.961038133745079,0.565737697942416,0.0198424788372008
S1,1020,0.1,xgb,xgb,1,0.9587649151842852,0.5416361338603248,0.0209697723183813
S1,1001,0.2,xgb,rf,1,0.9554021695110422,0.5211338550969284,0.0321092103106959
S1,1002,0.2,xgb,xgb,1,0.9557299932576888,0.5279919402085995,0.0336849759088864
S1,1003,0.2,xgb,rf,1,0.955813746393997,0.530120226961658,0.0332752806700251
S1,1004,0.2,xgb,xgb,1,0.9563559662478212,0.5261901976621949,0.033683513021974
S1,1005,0.2,xgb,xgb,1,0.9551985811907492,0.5111156953841862,0.033905416795134
S1,1006,0.2,xgb,xgb,1,0.9552176227829454,0.5146599012733208,0.0325087867116996
S1,1007,0.2,xgb,xgb,1,0.9568616857032723,0.5116244968910644,0.0346350602004056
S1,1008,0.2,rf,rf,1,0.9521355197895968,0.5325009594782977,0.0349548959988532
S1,1009,0.2,xgb,xgb,1,0.9548126999942068,0.5230601709318281,0.032794220011212
S1,1010,0.2,xgb,xgb,1,0.9540514701563282,0.5081135185398231,0.0339380625085779
S1,1011,0.2,xgb,xgb,1,0.9562806151806196,0.5279137679249616,0.0334345250769005
S1,1012,0.2,xgb,xgb,1,0.9565867677087974,0.5350799357563787,0.0322182780273621
S1,1013,0.2,xgb,xgb,1,0.9540195155761652,0.4914218122932177,0.0351394636191141
S1,1014,0.2,rf,rf,1,0.9534567161304984,0.5420883333370072,0.0335904756324753
S1,1015,0.2,xgb,rf,1,0.9515057942,0.4893897921618194,0.0340107569915903
S1,1016,0.2,rf,rf,1,0.951749950084944,0.527191133634379,0.0349903181773433
S1,1017,0.2,xgb,xgb,1,0.9585172473542418,0.521318375637311,0.0334875473757562
S1,1018,0.2,xgb,xgb,1,0.9567266580256728,0.5324680361367091,0.0342431541642225
S1,1019,0.2,xgb,xgb,1,0.9597417302471634,0.5448556001266482,0.034903922973405
S1,1020,0.2,rf,rf,1,0.9537021774272058,0.5273709630958563,0.0353747248216023
S1,1001,0.3,rf,rf,1,0.9532464512383978,0.5295756632006408,0.0516586832783033
S1,1002,0.3,rf,rf,1,0.9523952742918734,0.5136072687581648,0.0535760646154271
S1,1003,0.3,xgb,rf,1,0.9553241017224204,0.5030198740998625,0.0478136554084514
S1,1004,0.3,xgb,xgb,1,0.9534925107948328,0.5086717316242724,0.0503978406118205
S1,1005,0.3,xgb,xgb,1,0.9611554799442106,0.5071980329897634,0.0493920208684901
S1,1006,0.3,rf,rf,1,0.9527154278896516,0.5210076525122151,0.0518422035850722
S1,1007,0.3,xgb,xgb,1,0.9549618463260886,0.5103345427323142,0.0500205333025593
S1,1008,0.3,xgb,xgb,1,0.9558030009054904,0.4903849004437351,0.0494908388044874
S1,1009,0.3,rf,rf,1,0.9518574916678076,0.5261088562702099,0.0515040185040938
S1,1010,0.3,xgb,xgb,1,0.9551083324486692,0.495707209840272,0.0520159450939289
S1,1011,0.3,xgb,xgb,1,0.9548514932990796,0.4954393767728972,0.0512583479802659
S1,1012,0.3,rf,rf,1,0.9564028105818162,0.5234639210534147,0.0526530132588501
S1,1013,0.3,xgb,rf,1,0.9541320078829336,0.4820228820015669,0.0515950676460765
S1,1014,0.3,xgb,rf,1,0.9552270891861294,0.4951828302313966,0.048580120812567
S1,1015,0.3,xgb,rf,1,0.950964000316659,0.4649046665747892,0.0535688602684622
S1,1016,0.3,xgb,xgb,1,0.9546550219062164,0.4962846945206162,0.0491030378663783
S1,1017,0.3,xgb,rf,1,0.9576210457223928,0.5029919299937313,0.0499218654674105
S1,1018,0.3,xgb,xgb,1,0.9543606818236574,0.4990544783905683,0.0508405403322358
S1,1019,0.3,xgb,xgb,1,0.9575625007879494,0.5124832512210161,0.0484742926412051
S1,1020,0.3,xgb,xgb,1,0.9542688712850314,0.502322111847535,0.0496335057399566
S1,1001,0.4,rf,rf,1,0.9531921413314818,0.5052190298456223,0.0734072421014553
S1,1002,0.4,rf,rf,1,0.9522082203111736,0.492984399018708,0.0746685552737722
S1,1003,0.4,rf,rf,1,0.9501954172626512,0.5037031836541279,0.0723759113068585
S1,1004,0.4,rf,rf,1,0.9540947214570856,0.5050536885925749,0.0724375005125409
S1,1005,0.4,xgb,xgb,1,0.9611351214586296,0.4946023669873451,0.0639532250659417
S1,1006,0.4,xgb,rf,1,0.9524912036082356,0.4683344205051337,0.073640799165951
S1,1007,0.4,xgb,xgb,1,0.9556965880405248,0.4856076181422736,0.0686436924824979
S1,1008,0.4,rf,rf,1,0.9535335276022598,0.5015011538786176,0.0743982806010153
S1,1009,0.4,rf,rf,1,0.9522945870940176,0.4989994455320382,0.0750405898382828
S1,1010,0.4,xgb,xgb,1,0.9538150574886564,0.4833427882381301,0.0711417852400254
S1,1011,0.4,xgb,xgb,1,0.9560936870692368,0.4576099196918535,0.0717931731773493
S1,1012,0.4,xgb,rf,1,0.954837891491754,0.4621360264908707,0.0695399017901848
S1,1013,0.4,rf,rf,1,0.9558482019782266,0.4888653943549823,0.0749926285523702
S1,1014,0.4,rf,rf,1,0.951327737140786,0.4829364098294915,0.0755318814795159
S1,1015,0.4,rf,rf,1,0.9528238681320708,0.4951969703639175,0.0758682065906477
S1,1016,0.4,rf,rf,1,0.9535515364095156,0.5021644072709476,0.0738427760725151
S1,1017,0.4,rf,rf,1,0.9546944045758716,0.4904923481456943,0.0757467216378419
S1,1018,0.4,rf,rf,1,0.9508642749986944,0.4938324743821186,0.0750479118802703
S1,1019,0.4,xgb,xgb,1,0.9586065342112358,0.4631727752024105,0.0673932243603939
